filepath,filename,label,folder,sample_rate,duration_s,n_samples,amplitude_max,rms,error
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P11Healthy30S.wav,P11Healthy30S.wav,Healthy,healthy,44100,6.0,264600,0.2074,0.041854,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P13Healthy69S.wav,P13Healthy69S.wav,Healthy,healthy,44100,6.0,264600,0.2168,0.056587,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P24Healthy58S.wav,P24Healthy58S.wav,Healthy,healthy,44100,6.0,264600,0.901,0.207737,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P19Healthy62S.wav,P19Healthy62S.wav,Healthy,healthy,44100,5.009,220907,0.707,0.17413,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P13Healthy28S.wav,P13Healthy28S.wav,Healthy,healthy,44100,6.0,264600,0.6321,0.096276,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P6Healthy34S.wav,P6Healthy34S.wav,Healthy,healthy,44100,6.0,264600,0.4418,0.116158,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P13Healthy53S.wav,P13Healthy53S.wav,Healthy,healthy,44100,6.0,264600,0.4456,0.057602,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P24Healthy62S.wav,P24Healthy62S.wav,Healthy,healthy,44100,6.0,264600,0.936,0.158932,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P25Healthy20S.wav,P25Healthy20S.wav,Healthy,healthy,44100,6.0,264600,0.9999,0.365965,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P23Healthy14S.wav,P23Healthy14S.wav,Healthy,healthy,44100,6.0,264600,0.8537,0.204718,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P8Healthy33S.wav,P8Healthy33S.wav,Healthy,healthy,44100,6.0,264600,0.219,0.040831,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P8Healthy48S.wav,P8Healthy48S.wav,Healthy,healthy,44100,6.0,264600,0.2214,0.036298,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P21Healthy98S.wav,P21Healthy98S.wav,Healthy,healthy,44100,6.0,264600,0.5739,0.130379,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P12Healthy93S.wav,P12Healthy93S.wav,Healthy,healthy,44100,6.0,264600,0.3789,0.096202,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P18Healthy98S.wav,P18Healthy98S.wav,Healthy,healthy,44100,5.416,238827,0.9999,0.397887,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P2Healthy43S.wav,P2Healthy43S.wav,Healthy,healthy,44100,6.0,264600,0.4052,0.071828,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P3Healthy60S.wav,P3Healthy60S.wav,Healthy,healthy,44100,6.0,264600,0.1063,0.026199,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P4Healthy77S.wav,P4Healthy77S.wav,Healthy,healthy,44100,6.0,264600,0.1656,0.038687,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P26Healthy76S.wav,P26Healthy76S.wav,Healthy,healthy,44100,5.299,233707,0.945,0.221174,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P19Healthy55S.wav,P19Healthy55S.wav,Healthy,healthy,44100,6.0,264600,0.509,0.13636,
/Users/eliekanga/.cache/kagglehub/datasets/mohammedtawfikmusaed/asthma-detection-dataset-version-2/versions/1/Asthma Detection Dataset Version 2/Asthma Detection Dataset Version 2/healthy/P15Healthy93S.wav,P15Healthy93S.wav,Healthy,healthy,44100,6.0,264600,0.4928,0.095157,
